Parameter 1,Parameter 2,Pearson r,p-value,Significant,Strength,Direction,abs_r
fz2,pi0,0.122,0.2277,NO,NEGLIGIBLE,POSITIVE (coupled),0.122
weight,exponent1,-0.120,0.2345,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.12
q_param,exponent1,-0.114,0.2591,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.114
fx2,fy1,-0.100,0.3214,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.1
scale2,phi,-0.100,0.3239,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.1
scale1,exponent2,-0.098,0.3327,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.098
scale1,q_param,-0.094,0.3535,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.094
fx1,q_param,-0.087,0.3881,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.087
fy2,phi,-0.083,0.4138,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.083
pi0,exponent1,0.076,0.4516,NO,NEGLIGIBLE,POSITIVE (coupled),0.076
scale1,phi,0.067,0.5098,NO,NEGLIGIBLE,POSITIVE (coupled),0.067
fz1,q_param,-0.058,0.5690,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.058
fx2,phi,-0.049,0.6285,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.049
fz2,phi,-0.048,0.6380,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.048
fx1,scale2,0.048,0.6358,NO,NEGLIGIBLE,POSITIVE (coupled),0.048
fx1,phi,-0.041,0.6853,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.041
fz1,scale2,0.039,0.6998,NO,NEGLIGIBLE,POSITIVE (coupled),0.039
pi0,q_param,0.035,0.7323,NO,NEGLIGIBLE,POSITIVE (coupled),0.035
fy1,fz1,0.035,0.7294,NO,NEGLIGIBLE,POSITIVE (coupled),0.035
fx1,weight,-0.033,0.7429,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.033
weight,q_param,0.031,0.7567,NO,NEGLIGIBLE,POSITIVE (coupled),0.031
q_param,exponent2,-0.029,0.7759,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.029
fx2,fz2,-0.027,0.7908,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.027
fx2,pi0,-0.025,0.8076,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.025
fx1,fz2,-0.020,0.8405,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.02
fy1,scale2,-0.019,0.8480,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.019
scale1,pi0,0.017,0.8633,NO,NEGLIGIBLE,POSITIVE (coupled),0.017
fy2,pi0,-0.017,0.8632,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.017
fz1,phi,0.016,0.8726,NO,NEGLIGIBLE,POSITIVE (coupled),0.016
phi,exponent2,0.016,0.8723,NO,NEGLIGIBLE,POSITIVE (coupled),0.016
fx1,pi0,-0.015,0.8805,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.015
phi,q_param,0.013,0.9015,NO,NEGLIGIBLE,POSITIVE (coupled),0.013
fy1,weight,0.011,0.9101,NO,NEGLIGIBLE,POSITIVE (coupled),0.011
fy1,fy2,0.011,0.9172,NO,NEGLIGIBLE,POSITIVE (coupled),0.011
fy1,exponent2,0.010,0.9196,NO,NEGLIGIBLE,POSITIVE (coupled),0.01
pi0,exponent2,-0.009,0.9328,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.009
scale2,pi0,0.003,0.9782,NO,NEGLIGIBLE,POSITIVE (coupled),0.003
fy1,fz2,-0.001,0.9957,NO,NEGLIGIBLE,NEGATIVE (trade-off),0.001
fy1,phi,0.001,0.9927,NO,NEGLIGIBLE,POSITIVE (coupled),0.001
